name,PixelStandardDeviation [px],detected per frame,frames,obs per frame,total obs,corner_total [m],corner_avg [m],corner_median [m],corner_std [m],center_total [m],center_avg [m],center_median [m],center_std [m],reprojection_total [px],reprojection_avg [px],reprojection_median [px],reprojection_std [px],translation_total [m],translation_avg [m],translation_median [m],translation_std [m],angle_total [deg],angle_avg [deg],angle_median [deg],angle_std [deg],rodriguez_total ,rodriguez_avg ,rodriguez_median ,rodriguez_std 
2019-09-08_00:32:02_goat,0.1,3,30,3,90,0.29369093388077994,0.006118561122516249,0.004933587109879239,0.004707111731389184,0.08164604235931132,0.006803836863275944,0.005539588058179919,0.004710554634507191,8481.774972304605,1.7670364525634576,1.1546330321219211,1.7271001260198258,0.4568645836121341,0.004568645836121342,0.0039125284668533235,0.0034106295164665667,201.05658351651329,2.0105658351651328,2.012417897175067,0.39353812437331576,3.509099365173717,0.03509099365173717,0.03512331823175614,0.00686853600243859
2019-09-08_00:32:02_porpoise,0.1,3,60,3,180,0.45055153067864767,0.00938649022247183,0.00821821845252975,0.00496480315217954,0.1251640618325232,0.010430338486043599,0.009022286485943415,0.0048367146461631965,12703.075691736007,2.6464741024450014,2.2929845165480063,1.6256327732741205,2.1771961602610372,0.02177196160261037,0.021159929141365944,0.007955680824709368,256.44609281210506,2.5644609281210506,2.5994369698253372,0.5960386650692717,4.47582867344594,0.04475828673445942,0.04536873382151663,0.010402837174650431
2019-09-08_00:32:03_eland,0.1,3,90,3,270,0.04892203581198835,0.0010192090794164236,0.000952646988320419,0.0003708283403892497,0.01215701433645333,0.0010130845280377774,0.0009758345386416316,0.00035367352631535397,1042.9762247609667,0.2172867134918682,0.20193279320538038,0.10654434527946433,0.07927566502869841,0.0007927566502869841,0.0006922918291743775,0.0005094030326073325,34.75915629269196,0.3475915629269196,0.35071759064121133,0.06082213075671893,0.6066617225207274,0.0060666172252072745,0.006121176701332606,0.0010615464397918304
2019-09-08_00:32:03_guinea-fowl,0.1,3,120,3,360,0.23021633125478186,0.004796173567807955,0.002613740303350028,0.004056333076759817,0.058200281456066316,0.0048500234546721924,0.002864214527840513,0.004096838615636617,7830.026598387323,1.631255541330685,1.166260279906452,1.3231942785156858,1.7367375983977464,0.017367375983977477,0.016653376487401506,0.005543786250785011,140.23811781558425,1.4023811781558424,1.4114177044531493,0.44471554824555787,2.447616892681267,0.02447616892681267,0.024633886063634244,0.0077617505516971485
2019-09-08_00:32:04_mongoose,0.1,3,240,3,720,0.18345927123617856,0.00382206815075372,0.0032547856131518206,0.0027472470119321835,0.04740115266623906,0.003950096055519921,0.0034249278562654088,0.002827254539294631,5650.839642096738,1.1772582587701546,1.0507099068146188,0.7214799391785498,1.677505189522835,0.01677505189522835,0.016425197891662677,0.003838284934042769,100.65618972980775,1.0065618972980779,1.0293388810951678,0.30899318499494866,1.7567819232964152,0.017567819232964153,0.01796535259389896,0.0053929484443869646
2019-09-08_00:32:04_crane,0.1,5,30,10,300,0.5156935982597717,0.01074361663041191,0.009040296817439515,0.007253088656782519,0.14140645535451282,0.011783871279542736,0.010250184741475092,0.007007769892371446,62121.52258558166,12.941983871996177,2.2432056706010686,107.82433047943387,4.372067921243809,0.04372067921243805,0.03308328636497214,0.10287187347743791,370.3075672222482,3.7030756722224836,2.901151343361019,8.347727707063424,6.463086293078166,0.0646308629307817,0.050634643040301935,0.14569533354821382
2019-09-08_00:32:04_seal,0.1,5,60,10,600,0.20849838393813577,0.004343716332044496,0.004587199912752537,0.0025946509581456475,0.05442856229107099,0.004535713524255916,0.004848371361002703,0.002503055483137391,6849.101827363665,1.426896214034097,1.233501034785129,0.8514773299911442,1.3344118834743812,0.01334411883474381,0.01350769540379128,0.0023198117215013003,127.74041266025712,1.277404126602571,1.2353933124000047,0.1888079113837195,2.2294907887772317,0.022294907887772317,0.02156168085848867,0.0032953197074599696
2019-09-08_00:32:05_gnat,0.1,5,90,10,900,0.27825182014731914,0.005796912919735817,0.004264839728861936,0.003965632123718817,0.07424259857094016,0.006186883214245014,0.004778421217071226,0.003830182944774922,8907.255221256259,1.8556781710950576,1.6141503776923658,1.1355628592198388,2.6261069209527395,0.02626106920952738,0.026787878731153736,0.007108274193590543,134.47076282902094,1.3447076282902097,1.225409431036397,0.5902422034057929,2.3469575590342244,0.02346957559034224,0.0213874292565703,0.010301669833659344
2019-09-08_00:32:05_boar,0.1,5,120,10,1200,0.19995747820060072,0.004165780795845849,0.0039505366537784066,0.0027457884629524497,0.050544713527625094,0.0042120594606354245,0.004078479234925159,0.0027261207350022607,6307.662160262449,1.314096283388012,1.1848966301563428,0.7483232641826373,2.152740266074596,0.02152740266074596,0.021906608999847373,0.0054046769065401136,94.14525952204032,0.941452595220403,0.8977269868279028,0.3100750368298776,1.643144753803523,0.01643144753803523,0.015668291704140493,0.005411830320924515
2019-09-08_00:32:06_quail,0.1,5,240,10,2400,0.37520635010967857,0.007816798960618303,0.0047868348621152215,0.00633899677662886,0.09717551538357762,0.008097959615298135,0.004842759936454397,0.006303217511184565,88739.14821378674,18.487322544538856,1.6884001067204082,213.66277973823838,3.213147323983739,0.032131473239837394,0.022597954100676998,0.0905880710645788,283.2099329867179,2.832099329867178,2.1661463290480203,5.76699854422537,4.94294580497042,0.0494294580497042,0.03780638552187643,0.10065311255445275
