frame,# arucos,reprojection_total [px],reprojection_avg [px],reprojection_median [px],reprojection_std [px],translation,|||rotationvec|||,angle
0,5,27.040938571924666,1.3520469285962335,1.0846776410230925,0.8416301674309934,4.577599668110672e-16,0.0,0.0
1,6,37.68354163297098,1.570147568040457,1.2227148720699157,1.1074296381716233,1.2395157636710996e-16,0.0,0.0
2,5,25.700833153882407,1.2850416576941206,1.2068771969037266,0.6376561786568683,1.2663054370000584e-16,0.0,0.0
3,6,32.15047221307194,1.339603008877998,1.0975648177361201,0.8269495067530797,1.3120266425450826e-16,0.0,0.0
4,6,32.995906613968835,1.3748294422487017,1.3500795223907676,0.7211774082991448,2.353038457262465e-16,0.0,0.0
5,6,28.79351598811612,1.1997298328381722,0.9933920161058614,0.6423454628077607,6.945531467554183e-17,0.0,0.0
6,6,26.936849866729613,1.1223687444470671,1.0204065119126948,0.652515267439279,1.168107968732037e-16,0.0,0.0
7,6,26.02611967907637,1.0844216532948485,1.0839668075287234,0.5185268022458364,1.1663999956178395e-16,0.0,0.0
8,6,28.62328589956405,1.1926369124818352,1.1789823916688889,0.5635204117596969,1.8440363494407353e-17,0.0,0.0
9,6,27.923524480976297,1.1634801867073459,1.0284112555209175,0.6351363275348514,1.1549923865731633e-16,0.0,0.0
10,6,28.94683637410107,1.2061181822542117,1.1422624778016095,0.610936159610912,3.350532060718254e-16,0.0,0.0
11,6,23.730778006647892,0.988782416943662,1.0189914055136144,0.39657773898905085,2.797157557069881e-17,0.0,0.0
12,6,24.29234531680705,1.0121810548669605,0.949888109643487,0.505611947646762,3.469446951953614e-18,0.0,1.2074182697257333e-06
13,6,25.17454197142657,1.0489392488094402,1.020965943729294,0.4780974467537837,1.1107649934270853e-16,0.0,1.2074182697257333e-06
14,6,26.339253304754088,1.0974688876980871,1.1561032572900798,0.4553580312243205,3.469446951953614e-18,0.0,1.7075472925031877e-06
15,6,27.18251268405491,1.1326046951689546,1.1619412868878731,0.4227654840757879,1.15746490986309e-16,0.0,0.0
16,6,27.97457100174552,1.1656071250727302,1.2502849228533761,0.47956901810132657,5.865007460606617e-16,0.0,0.0
17,6,26.87059355770384,1.119608064904327,1.1373871238926128,0.45968831620861417,2.7755575615628914e-17,0.0,1.2074182697257333e-06
18,6,26.676609563609244,1.1115253984837183,1.1871218891759365,0.42040945914070427,1.142812864618523e-16,0.0,0.0
19,6,27.813570757111517,1.158898781546313,1.1556588630074123,0.443134390606155,1.2412670766236366e-16,0.0,0.0
20,6,28.236018978436228,1.1765007907681764,1.1961010141554878,0.5069838968440894,1.5515838457795457e-17,0.0,0.0
21,6,30.708064108983894,1.279502671207662,1.2312629144330125,0.5659525825399564,1.5515838457795457e-17,0.0,0.0
22,6,32.60556032155329,1.358565013398054,1.3431455042061873,0.6403903578566404,2.308942361192006e-16,0.0,0.0
23,5,30.166450355806795,1.5083225177903397,1.5114740327363538,0.7297215390441709,1.1113066979184075e-16,0.0,0.0
24,4,19.385774586319698,1.2116109116449811,1.078804490825563,0.6474687861415622,3.0454650408424646e-16,0.0,1.2074182697257333e-06
25,4,20.969101928537093,1.3105688705335683,1.1072058732663042,0.8182991720798403,7.294094509512294e-17,0.0,0.0
26,4,20.970365740844116,1.3106478588027572,1.2045525919811884,0.8360785678839827,4.795373138347379e-16,0.0,0.0
27,3,12.101111317419496,1.0084259431182914,1.0738064434647225,0.4796578983035595,3.428154195448282e-15,0.0,0.0
28,3,13.882321030482547,1.1568600858735458,1.0557497000966691,0.49614118783703154,4.5209489803644265e-15,0.0,0.0
29,3,11.20695983966582,0.9339133199721515,0.8545000531995863,0.5893596591633135,5.662860180907819e-15,0.0,0.0
30,3,12.671853675832214,1.055987806319351,0.8044422015345707,0.5639298754266954,7.220268377345051e-15,0.0,0.0
31,3,12.96321938214701,1.0802682818455842,0.7010514245361796,0.6741249073030059,1.0119403197338332e-14,0.0,0.0
32,3,12.039628622222434,1.0033023851852025,0.9959294334915996,0.4369515134183327,1.3883476534865586e-14,0.0,0.0
33,3,12.19226152200231,1.0160217935001925,0.8482254900449934,0.48208662867920854,3.0220217324728894e-14,0.0,0.0
34,3,13.356758045087886,1.1130631704239906,1.3295700931407153,0.5367186789862323,5.92032206198359e-14,0.0,2.091309789151873e-06
