frame,killerqueen_N_detectedCorns,emperorcrimson_N_detectedCorns,diavolo_N_detectedCorns,tcangalho,Rcangalhoangle,|||Rcangalhorodrigues|||,reprojectionNormAvg,terr_emperorcrimson_diavolo,terr_emperorcrimson_killerqueen,terr_diavolo_killerqueen,Rerrangle_emperorcrimson_diavolo,Rerrangle_emperorcrimson_killerqueen,Rerrangle_diavolo_killerqueen,Rriguez_emperorcrimson_diavolo,Rriguez_emperorcrimson_killerqueen,Rriguez_diavolo_killerqueen
0,12,24,24,0.176023554942036,7.136363210346754,0.1245530346387413,18.733431739584123,0.6880264947148486,2.173833654645354,1.2700389124472211,6.712755207436514,6.150126096852784,8.546208326750104,0.1171596802501678,0.10733994980291083,0.1491594738631432
1,12,16,24,0.0958300561482041,3.8838413501976032,0.06778581918603173,33.1366647227214,0.692591715223939,2.0454041542206256,1.1003338007458732,5.5345317594411645,5.330664963539076,0.7863273276091142,0.09659580175844767,0.09303765493446034,0.013724000865187151
2,20,20,24,0.2468649556147998,10.018448412287142,0.1748549107356033,30.99909867072257,0.5791738465970327,2.0076745557699778,1.2950096534129238,14.429533052223109,6.891148102458864,8.734664082178655,0.2518428612866437,0.12027322363046486,0.1524486472897032
3,20,12,24,0.3110926750501999,12.642641099302425,0.22065571333078035,37.216826196535145,0.5852780348659411,1.8270871935410828,1.0210245779126508,13.658114419839812,18.657149487098486,5.612659390968721,0.23837906624032176,0.3256286875866398,0.09795938616537933
4,24,12,24,0.27029460091426755,10.977151364794537,0.1915874338054495,36.37436798971248,0.5930630391993764,1.8592206068051866,1.0327138808250997,12.202931264805201,16.305616218512878,4.422906611064934,0.21298132896540992,0.2845866895796369,0.0771942828713016
5,20,12,24,0.30142481400834076,12.247139805676879,0.21375291356111573,35.19114731676512,0.5894849456283671,1.8398067427040865,1.015940201184875,13.028153555072167,18.09741139655612,5.615854465402021,0.22738417499141467,0.31585941495784814,0.09801515073408668
6,24,12,24,0.3083552372680349,12.528448734051373,0.21866268057650795,34.28332732562905,0.5962677010893913,1.8388716928020024,0.9923812142476641,12.071217370291297,18.505971507728457,7.0081573241340624,0.21068248783551569,0.3229901340901187,0.12231541980388941
7,24,12,24,0.26700144994980657,10.841311780071356,0.18921658579748993,31.964047093822444,0.6014474395633256,1.8824267809860136,1.039020389161655,12.029528648620076,15.6174686221218,4.876938069471567,0.2099548823814097,0.2725762482829283,0.08511862672813218
8,24,12,24,0.2516785909033456,10.215832076898048,0.1782999055727189,29.95678899628392,0.6128678438621765,1.9065522003848991,1.0447030896329506,11.010040217908081,14.568706026344662,5.0687499864410865,0.1921614525794911,0.25427188791485317,0.08846637622381238
9,24,12,24,0.2570092373537354,10.434387457497179,0.18211441656212254,29.87107989372862,0.6124777535744758,1.9019698408767474,1.040197959267212,11.825152428161362,15.082620196796949,4.395389747532458,0.20638784442162014,0.263241382261901,0.07671402300284369
10,24,12,24,0.314354959198265,12.782241963975409,0.2230922080579497,30.356100759639812,0.5876034598267705,1.8646787314186655,1.0687704447244077,16.820913132481923,18.358165104543374,3.1676476549000734,0.2935803173537643,0.32041042569900946,0.05528588112107534
11,24,12,24,0.34782455584571487,14.155604581275112,0.24706190755363786,29.086794467027328,0.5830532930939714,1.8494518180357495,1.0848319308198306,19.323992891549633,19.86677291722071,3.276047935054395,0.33726730058952126,0.346740599151539,0.05717782291985279
12,24,12,24,0.3619357953241829,14.740566887307665,0.25727142579396506,27.74398120219592,0.5805974246335956,1.847626882588461,1.103009758075043,21.112726733320155,20.651836130031445,2.457137798570659,0.36848659557026536,0.36044253705137247,0.04288514476025804
13,12,12,24,0.5647104871694876,23.096518515853273,0.40311029384947245,50.4090530586971,1.035174586221153,1.8684755467949676,0.8621095946765992,15.342366458613201,19.603440044550602,34.343749044395715,0.267774809750346,0.34214457349471117,0.5994114983033609
14,24,16,24,0.3565707645816572,14.516057520948214,0.25335299814942774,24.888908608489277,0.5832361976444057,1.850090460106265,1.0698364975040182,19.052683856457417,21.245161957813977,3.250326748572382,0.3325320646367547,0.3707980262832992,0.05672890352822998
15,24,20,24,0.37865910793810714,15.430382177578247,0.26931097383978153,20.679663555544227,0.5812633630110668,1.8326993230711481,1.080232448883105,21.059845619621445,22.760111323855345,2.4711895892565745,0.3675636460241013,0.3972388807217206,0.04313039477352322
16,24,20,24,0.412028167363367,16.808449645453212,0.29336278846882896,17.834546333892643,0.5851757331084784,1.8133748538032535,1.0893230296356724,22.92168713761912,24.81674382100442,2.686917977735468,0.4000589106634888,0.4331338893004861,0.04689556544251161
17,24,16,24,0.4499059862575332,18.37957047536634,0.32078401989747524,17.31384699138746,0.5991639065419573,1.8019545236761902,1.1188557519317264,26.372380907085375,26.03768467527646,2.728645843736503,0.46028487841872945,0.4544433271796448,0.04762385409405134
18,24,16,24,0.41452655890137774,16.909986632829003,0.2951349432110939,13.445758955778517,0.5877931985713625,1.8441265967884402,1.1298265798555012,24.09169174027397,23.76046019301449,2.877807965197666,0.4204793432433043,0.4146982621571502,0.05022722423282651
19,24,16,24,0.3772351772394151,15.36927040758711,0.26824437224172043,12.130403137537975,0.5892615112000122,1.8756131925789252,1.1038313789830483,21.212909115872666,22.081201386707235,2.8137007201804716,0.37023510799829856,0.3853896669939788,0.04910834173288488
20,24,16,20,0.4233085645771073,17.274202446199336,0.301491708342232,15.17870228961437,0.5941519292769353,1.8529914204714795,1.1057334353137278,24.65527020023715,24.333486236865394,2.8338509014948507,0.4303156429629805,0.42469945332202647,0.04946002874169015
21,24,16,16,0.4725556622029882,19.321925729934073,0.3372312218131516,15.000062382799143,0.6049498047214202,1.8105109650129048,1.1067400755815808,27.712527411196014,27.403617705665148,2.849632072940202,0.4836748473745509,0.4782833559216708,0.04973546214323774
22,20,16,12,0.5147230986778455,21.076813240756646,0.36785978687913495,13.876760155831278,0.6214026155789981,1.7782387523421113,1.0989194274105167,29.963054606302226,29.619579261460117,3.6478058545069376,0.5229539568348276,0.516959181167909,0.06366622263466781
23,20,16,12,0.5095073300349205,20.876767286409123,0.3643683263204685,16.18914424130686,0.6319999337392357,1.7675724775294532,1.095087263697169,30.337321150680065,30.25113814166304,2.0418425668834295,0.5294861403142836,0.5279819630476585,0.035636875599469674
24,12,16,12,0.5035341967202782,20.627073689496278,0.36001035093319733,20.975543214646038,0.6350910087120373,1.7599636521777782,1.081450433194964,29.114270116123812,30.757647114544774,2.0093038378193513,0.5081398728413533,0.536822212315339,0.035068967642899504
25,12,20,12,0.5740964877028243,23.57502701949326,0.41146184273677705,21.808919191439887,0.6656026686234457,1.7177511267763157,1.052265048680251,31.39655123957091,35.30024219734607,4.028287621562149,0.5479731929016199,0.6161054530951264,0.07030688221358768
26,12,24,12,0.5758598498575053,23.668312112650188,0.4130899747553944,23.114478899620444,0.6924338067444792,1.7337285108950204,1.0895237814056795,33.12471666345308,35.25947209758266,2.620747576913873,0.5781353695674885,0.6153938806178892,0.0457406740808007
27,12,24,12,0.641956624909722,26.489869604545238,0.4623354430232755,22.441736706445145,0.811968539879146,1.7314550284107373,1.1542416166690335,39.72194793801493,37.26863900320645,2.479021872413704,0.6932787768241335,0.6504604583431295,0.043267093902563655
28,12,16,12,0.7740727465329057,32.15023562399884,0.56112746693075,32.194017706125095,0.878257138941186,1.6556288305245561,1.0083264946675279,42.351820791667514,48.18616185845956,5.9127242218691105,0.7391787170291898,0.8410071783290288,0.10319650543403139
29,16,16,12,0.845002227875848,35.28305264030811,0.6158054387278532,35.48491418488342,1.0117380983974533,1.6519056962704997,0.9958695967707185,46.82526418482437,52.813604474143794,6.2102892619558805,0.817255033141365,0.9217712879198176,0.1083899951223767
30,20,12,12,0.8309901595000019,34.700033680131604,0.6056298382712172,45.89704043413851,1.0523195603889202,1.6453860518928274,1.0189043774572422,47.89605421345803,51.492919055526116,4.711127771410136,0.8359438447385457,0.8987209789818595,0.08222469109324695
31,20,12,12,0.8332873095571522,34.85392470852073,0.6083157434058858,51.02131926049677,1.1294315167536573,1.658657957815256,1.0583104418894138,50.091599948397224,51.348949668730306,3.12122450843414,0.8742633466913532,0.8962082391601955,0.05447564436610912
32,24,12,12,0.8567949410525778,35.87583797787154,0.6261514946258809,53.554249565910894,1.1474504856586154,1.664978273758482,1.0291828308450555,50.186802252135195,53.292110144792005,4.148601536686843,0.8759249403470655,0.930122787362093,0.07240675616848788
33,24,12,12,0.8467621516631594,35.398767659396476,0.6178250468049544,55.16730248387173,1.1283058579501148,1.6717537890456706,1.0160339075630676,48.879684872805626,52.41011576127459,4.906502344108743,0.8531114383677249,0.9147290813856163,0.08563462066152255
