name,PixelStandardDeviation [px],detected per frame,frames,obs per frame,total obs,corner_total [m],corner_avg [m],corner_median [m],corner_std [m],center_total [m],center_avg [m],center_median [m],center_std [m],reprojection_total [px],reprojection_avg [px],reprojection_median [px],reprojection_std [px],translation_total [m],translation_avg [m],translation_median [m],translation_std [m],angle_total [deg],angle_avg [deg],angle_median [deg],angle_std [deg],rodriguez_total ,rodriguez_avg ,rodriguez_median ,rodriguez_std 
2019-09-08_00:15:47_camel,0.1,3,30,1,30,0.1845365287899389,0.003844511016457061,0.0022036660000881976,0.004072490078538194,0.046650163782152795,0.003887513648512733,0.0021519567555689776,0.004102947170499449,5721.262530897327,1.1919296939369406,0.5982887465808684,1.566057669587257,0.28857047716380846,0.0028857047716380835,0.002864113888044232,0.0015601725888682403,60.82666515747047,0.6082666515747048,0.5832302054269156,0.11654657587631113,1.061625580004766,0.010616255800047656,0.010179287381760764,0.0020341214809744827
2019-09-08_00:15:47_gaur,0.1,3,60,1,60,0.25411504669041496,0.005294063472716978,0.0024667538881328133,0.005087464059756005,0.0643616560064282,0.005363471333869015,0.0023977447075006304,0.005124424339793331,10103.657231169274,2.104928589826934,1.3799871143037916,1.7707123486339553,1.6325089597754447,0.016325089597754448,0.01566217641928804,0.005304526980096395,93.6943541057843,0.9369435410578429,0.9275123126529485,0.41515721701377106,1.6352749696749076,0.01635274969674907,0.016188143708581015,0.007245860350306786
2019-09-08_00:15:47_partridge,0.1,3,90,1,90,1.192626429169395,0.024846383941029056,0.015533872967118206,0.021072327093986234,0.33982898457374744,0.028319082047812277,0.019823197140403953,0.020240501663291378,4438433.6438266635,924.6736757972212,277.6104156407787,1782.0425604007773,58.104865965434456,0.5810486596543447,0.8736384633751021,0.4960563817296532,5169.623803605739,51.69623803605741,33.27237110628986,55.011169124099844,90.2269564623928,0.9022695646239282,0.5807124257501866,0.9601260265869875
2019-09-08_00:15:48_ape,0.1,3,120,1,120,0.18177444811472424,0.0037869676690567553,0.002087596764954014,0.003387768678903648,0.04571129110890092,0.003809274259075077,0.0021047253708131996,0.0033658855251464293,6717.376039454913,1.399453341553108,1.020447716063598,1.0967846408942092,1.6594890973445207,0.0165948909734452,0.01574031234972885,0.00554385816603141,52.85373344452918,0.5285373344452917,0.5494003399064783,0.20327276022608967,0.922471670576882,0.00922471670576882,0.00958884484294404,0.003547778945571812
2019-09-08_00:15:48_boar,0.1,3,240,1,240,0.27496332592406736,0.005728402623418072,0.004906422205161881,0.003523627823774588,0.07459360467340252,0.006216133722783543,0.004933492510062438,0.0037512601703249605,6971.123532861314,1.4523174026794414,1.3141079446892374,0.8180350607441927,2.5559463847356976,0.02555946384735698,0.024661452647461883,0.005127138433320621,188.35601346247554,1.8835601346247552,1.848864698690862,0.16581788492799932,3.2874326008505586,0.03287432600850559,0.03226877641603812,0.0028940680506879
2019-09-08_00:15:48_elk,0.1,5,30,1,30,0.4979187526705926,0.010373307347304012,0.008318512307261966,0.008422898714106845,0.1339841675820814,0.011165347298506783,0.00939890973198312,0.008597977389234328,345697.07088618306,72.02022310128781,1.9310127266600863,603.1005288198177,6.592967169772259,0.0659296716977226,0.026085563528392613,0.20246909997369109,711.9465708216636,7.119465708216638,3.9239789429785694,16.012727448474557,12.425811759120826,0.12425811759120821,0.06848635233390449,0.279474816200352
2019-09-08_00:15:49_goat,0.1,5,60,1,60,0.14966198176207957,0.003117957953376657,0.0011439458757801645,0.003121749767265876,0.03853395033600254,0.0032111625280002117,0.001238193558959889,0.0030723959618221175,5585.723195285614,1.163692332351168,0.8505073613640226,0.9980962212810041,1.1660684194910889,0.01166068419491089,0.011449421909309733,0.003446359047403023,56.17860946468072,0.5617860946468071,0.5531245182915016,0.20909299163165948,0.9805017043490754,0.009805017043490755,0.00965384401765983,0.0036493611468265017
2019-09-08_00:15:49_pony,0.1,5,90,1,90,0.21327855562823206,0.004443303242254834,0.0030290112830166677,0.0035650822551941564,0.0546508842999868,0.004554240358332234,0.0030792459140851344,0.003633289861759313,6756.960547888033,1.407700114143342,1.0905381126521987,1.0200841851919578,1.827697368743089,0.018276973687430895,0.01749608404039004,0.003505616800367668,98.77918124412528,0.9877918124412526,0.9520164692045235,0.263009710572972,1.7240219451335648,0.017240219451335647,0.01661582192081011,0.004590385414219294
2019-09-08_00:15:49_spider,0.1,5,120,1,120,0.155822831395111,0.0032463089873981444,0.0027077433133081133,0.0015235026034114648,0.04161654441321184,0.003468045367767653,0.0026681166878565433,0.0014985259585641002,3665.6669517318273,0.7636806149441322,0.6748904223248644,0.45303952289658145,0.9966247837850827,0.009966247837850824,0.009957443783662506,0.0015668602460854777,93.25681229030207,0.9325681229030209,0.9349944966849786,0.118758054609972,1.6276384243793125,0.016276384243793126,0.016318732455166476,0.0020727190662068514
2019-09-08_00:15:50_cheetah,0.1,5,240,1,240,0.2387057052864821,0.004973035526801711,0.003945699592418372,0.002834721120658112,0.06292105846130686,0.005243421538442238,0.004538205974779186,0.002897549977703221,6066.346368042932,1.2638221600089456,1.0919580910202797,0.8067211359244211,2.2864925718324676,0.022864925718324675,0.021616639646434604,0.006179646880963812,146.5232677881097,1.4652326778810967,1.4396708217337197,0.43461749428751434,2.557313453683278,0.025573134536832774,0.025126995984145768,0.00758550626208726
