name,PixelStandardDeviation [px],detected per frame,frames,obs per frame,total obs,corner_total [m],corner_avg [m],corner_median [m],corner_std [m],center_total [m],center_avg [m],center_median [m],center_std [m],reprojection_total [px],reprojection_avg [px],reprojection_median [px],reprojection_std [px],translation_total [m],translation_avg [m],translation_median [m],translation_std [m],angle_total [deg],angle_avg [deg],angle_median [deg],angle_std [deg],rodriguez_total ,rodriguez_avg ,rodriguez_median ,rodriguez_std 
2019-09-08_00:24:33_red-panda,0.1,3,30,3,90,0.12059678604246116,0.0025124330425512743,0.0023706531076122285,0.0010866154849818812,0.030785527776932387,0.0025654606480776986,0.0024751457260987018,0.0010088089723695787,1953.2222066721686,0.4069212930567025,0.3691490638144692,0.2194545626269555,0.1356247245980286,0.0013562472459802855,0.0014221545960906678,0.0007571601393373804,101.42801654507392,1.014280165450739,1.0363757816793062,0.12153860802593007,1.7702528424783321,0.017702528424783325,0.01808816967823382,0.00212124887834445
2019-09-08_00:24:34_wasp,0.1,3,60,3,180,0.14046973153806333,0.00292645274037632,0.002235691342576545,0.002341198062086548,0.03900843220362954,0.003250702683635795,0.0025606162529256504,0.0024259232985579197,3719.55358293223,0.7749069964442122,0.5183757298262962,0.7710442568179906,0.31411323061548746,0.0031411323061548745,0.003223819457314029,0.0016850581433640317,136.4387317212767,1.364387317212767,1.3924042432986146,0.23293101673926972,2.381305095781005,0.023813050957810035,0.02430203856429186,0.004065413172119478
2019-09-08_00:24:34_skunk,0.1,3,90,3,270,0.29643314155574485,0.006175690449078018,0.004969730879448231,0.003913462258031392,0.08274246555847384,0.006895205463206153,0.005470536743222084,0.003907674351197858,8347.681699402681,1.7391003540422214,1.472134045193949,1.112315249561863,1.8405285739037387,0.01840528573903739,0.01949695343378189,0.008027707465944856,164.9273259724653,1.6492732597246529,1.70156765066783,0.632265397010302,2.8785248647290134,0.028785248647290138,0.029697957949567012,0.011035112924260747
2019-09-08_00:24:34_goose,0.1,3,120,3,360,0.11201866759547797,0.002333722241572458,0.0015203886281007193,0.002244156512555903,0.028051241300258004,0.002337603441688167,0.0016549225081351334,0.002254772883648931,4202.4740840701525,0.8755154341812841,0.585925410894542,0.7721828106676724,0.7268619540447503,0.0072686195404475015,0.007718859048909803,0.0018220814608981184,44.07508276286911,0.44075082762869094,0.43003609856525304,0.189621734089529,0.7692553122983915,0.007692553122983914,0.007505545822394519,0.003309523593221311
2019-09-08_00:24:35_jay,0.1,3,240,3,720,0.15795535515976578,0.0032907365658284542,0.0018724703187705534,0.0028381725084045493,0.040150946055361784,0.003345912171280149,0.001859540228198986,0.002832435899046582,5432.781292495227,1.131829435936504,0.914917916564524,0.797368589522928,1.3001793737055862,0.013001793737055862,0.01366198509874836,0.004510045199359861,75.38228861249634,0.7538228861249634,0.7596442677711746,0.23587627742969974,1.3156691339755342,0.013156691339755344,0.013258293616474947,0.004116817668496071
2019-09-08_00:24:35_koala,0.1,5,30,10,300,0.16268594647478185,0.0033892905515579565,0.0021264846801287898,0.0033266829570849335,0.043545445534802926,0.003628787127900244,0.002702284038921472,0.0032675934702669275,4728.386713832873,0.9850805653818482,0.47046993630311107,1.2819477368165353,0.5263413463535954,0.00526341346353595,0.005459478438789411,0.0019286068137655714,64.42381237476597,0.6442381237476594,0.6457775023535823,0.1494872739334369,1.1244076426254659,0.011244076426254659,0.01127094365135575,0.0026090451199743993
2019-09-08_00:24:35_termite,0.1,5,60,10,600,0.38753255732110875,0.008073594944189766,0.005617926124192634,0.006418650621560624,0.10057935615237137,0.008381613012697615,0.00641059753524615,0.006428651157360084,54780.22187283249,11.412546223506764,2.0483812714212046,126.79840357776499,3.6717296362332643,0.03671729636233263,0.0304383801323225,0.09628654341717251,266.3962970670481,2.663962970670481,1.9680978865746988,5.840937401464626,4.649492498940509,0.046494924989405106,0.034349788122270394,0.10194358905844028
2019-09-08_00:24:36_kingfisher,0.1,5,90,10,900,0.45037954364889765,0.009382907159352036,0.0062362366435039455,0.006794094873872027,0.1198109462187939,0.009984245518232826,0.007388505540283351,0.006866170142659523,13713.821028727363,2.8570460476515365,2.0284354737062182,2.3180040113786777,3.309557646406744,0.033095576464067446,0.03379173654607742,0.004570696503857261,172.66927618058264,1.7266927618058259,1.6398867295969062,0.34930631369330517,3.0136473863860695,0.030136473863860692,0.0286214227912202,0.006096545271952716
2019-09-08_00:24:36_anteater,0.1,5,120,10,1200,0.08771762006290597,0.001827450417977208,0.0015353431743289688,0.0009687674267478979,0.022678705282691065,0.001889892106890922,0.0016196297770373854,0.0009671912849339298,2836.8773074015407,0.5910161057086523,0.5223703957301653,0.364770255562994,0.36145001837040397,0.003614500183704039,0.0038759228982963943,0.0016130598114590035,39.91893704369674,0.39918937043696734,0.4055332064876978,0.07630014812922342,0.6967168853067857,0.006967168853067857,0.007077889679396029,0.0013316888046200968
2019-09-08_00:24:36_coyote,0.1,5,240,10,2400,0.18885347375304273,0.003934447369855057,0.003753206018855689,0.0017591596653094334,0.04703838460534423,0.003919865383778686,0.0037634654053901187,0.0017502142199130408,5200.122107773731,1.0833587724528613,0.9751691910472018,0.6366140228809289,2.268863370052698,0.022688633700526973,0.022878933344210726,0.0032244504405650287,57.686880734428534,0.5768688073442854,0.49367167217990227,0.24795742161449139,1.0068260040197563,0.010068260040197568,0.008616196103365389,0.00432767341193644
